Pattern String,Comment,Pattern Category,Where in website?,Deceptive?,Website Page
88 PEOPLE VIEWED ITEM IN THE LAST 24 HOURS,Above product image,Social Proof,Product Page,No,https://www.claires.com/us/fuzzy-rainbow-unicorn-lock-box-233499.html?pid=233499&cgid=1#prefn1=brandName&prefv1=Claire's%7CClaire's+Club&start=2
8 items left,Product detail,Scarcity,Product Page,No,https://www.humblejuiceco.com/products/naked-100-e-juice-hawaiian-pog-ice-1
,Shipping,Urgency,Product Page,No,https://www.buytshirtsonline.co.uk
Your cart is reserved for 09:35 minutes.,Resets on reload.,Urgency,Checkout Process,Yes,https://fuzz.online/products/fg-grater
,Subscription is default,Misdirection,Product Page,No,https://www.manscaped.com/products/crop-cleanser-manscaping?variant=5187650519081
Your order is prioritized for 13:22 minutes!,,Urgency,Cart Page,No,https://www.1sttheworld.com/collections/polyester-all-over-print-t-shirts-utm_source-menu-utm_medium-shop-utm_campaign-polyaoptshirt-utm_term-utm_content/products/netherlands-t-shirt?variant=19086079230021
Chirag in Anoopshahr just got the JAYS - a-JAYS One+ about 17 minutes ago,Periodoc popup,Social Proof,Product Page,No,https://www.headphonezone.in/products/jays-a-jays-one-plus
,Origin unclear,Social Proof,Product Page,No,https://hairmax.com/pages/written-testimonials
Hurry! Only 1 left in stock,Product detail,Scarcity,Product Page,No,https://us.missselfridge.com/en/msus/product/petite-893018/view-all-893048/petite-black-stripe-twist-front-jumpsuit-8272023
"No thanks, I'm not interested",Popup,Misdirection,Product Page,No,https://www.greenbelly.co/products/meal2go?utm_source=Home%20Button
"JOHN in Toowoomba City, Australia purchased a Resin Tank 7 hours ago",Periodic popup,Social Proof,Product Page,No,https://shop.ogadget.com/products/jelly
,Shipping,Urgency,Product Page,No,https://www.theproteinworks.com
Competitor Price: $172.00,The competition is not defined.,Misdirection,Product Page,No,https://www.leatherhidestore.com/k601-mossy-oak-distress-22767.html
HOT PRODUCT Over 250 people are looking at this item.,Product image,Social Proof,Product Page,No,https://www.chainreactioncycles.com/us/en/tacx-neo-direct-drive-smart-trainer/rp-prod138157
"No Thanks, I don't like exclusive deals.",Popup,Misdirection,Product Page,No,https://www.jamtangan.com/alexandre-christie-ac-9205-mc-lurbu-chronograph-men-black-dial-black-leather-strap-178981.html
"1 left, order now!",Product detail,Scarcity,Product Page,No,https://www.opticsplanet.com/dragon-x1s-goggles.html?_iv_code=X09-EGS-DGNX1SG-286027018331
I don't want to save money,Wheel popup,Misdirection,Product Page,No,https://www.vitalityextracts.com/collections/diffuser-jewelry/products/sacred-arrow-diffuser-bracelet
"Hurry, Sale ends in 9 Hours!",Product detail. Hurrify plugin.,Urgency,Product Page,Yes,https://dailygifty.com/products/100-natural-bamboo-charging-dock-station-for-mobile-phone-and-watch
,Shipping,Urgency,Product Page,No,https://www.espares.co.uk
You may cancel your VIP membership at any time by calling 1-866-337-0906 (open 24/7).,Call to cancel,Obstruction,Cart Page,No,https://www.fabletics.ca/product?id=7941769&psrc=also%5Flove
,Doesn't tell you that the products will auto-ship up front,Sneaking,Product Page,Depends,https://www.grove.co/catalog/product/meyers-hand-lotion/?v=1308
Only 3 left.,Product detail,Scarcity,Product Page,No,https://www.kingpower.com/product/cheero-power-plus-10050-m-ah-danboard-version-flower-series-green?collection=happy-travel&lang=en
I don't want a discount,Popup,Misdirection,Product Page,No,https://www.pacificcoast.com/hotel-deluxe-baffle-box-mattress-topper/MV-67381.html?referralcat=sale#start=1
"We will also send you an additional email confirming your renewal. Should you elect not to renew your Membership, you may cancel at any time prior to the renewal by emailing us at passportmembership@1800flowers.com and your credit/debit card on file with us will not be charged. A confirmation email will be sent to you. If you email to cancel after your Membership has been renewed, your credit/debit card will have been charged the then current paid annual membership fee for the Passport Program, however you may request, and 1-800-Flowers may grant, a pro-rata refund within its sole discretion based upon the extent that you may have utilized the benefits of the Passport Program and the period of time remaining on your paid Membership.",Email to cancel,Obstruction,Other Page,No,https://www.1800flowers.com/passport-terms-and-conditions
2 viewed per hour,Product detail,Social Proof,Product Page,No,https://www.ebay.ph/itm/CNY2019-Apple-iPhone-XS-256GB-Silver-5-8-Factory-Unlocked-Agsbeagle/283172208894?_trkparms=pageci%3A61c15e46-2598-11e9-bffd-74dbd18004bc%7Cparentrq%3Aa5a3cb7a1680aca48f76dc29ffe48162%7Ciid%3A1
"No Thanks, I'd Rather Pay Full Price",Popup,Misdirection,Product Page,No,https://www.colorit.com/collections/featured/products/colorful-unicorns-illustrated-by-terbit-basuki
,Resets on each load.,Urgency,Product Page,Yes,https://stayclassy.in
,Shipping,Urgency,Product Page,No,https://www.timepiece.com
1 Left,Product detail,Scarcity,Product Page,No,https://www.rosenbergshoes.com.au/dr-martens/1460-8-eye
Order Subtotal $19.99 Standard Delivery $12.99 Care & Handling $2.99 Tax $2.38 Total $38.35 Savings Today $10.00,19.99 becomes 38.35. Care and handling is not disclosed. The others are disclosed in small gray font.,Sneaking,Checkout Process,Depends,https://www.proflowers.com/product/premium-all-the-frills-prd-30185587
Lenscap: Damage Only,Insurance selected by default in the dropdown. The coverage price is $1.00.,Misdirection,Cart Page,No,https://www.lensrentals.com/rent/circular-polarizing-filter-77mm
,Origin unclear,Social Proof,Home Page,No,https://www.manscaped.com/
Almost gone! Only 3 left In Stock,Product detail,Scarcity,Cart Page,No,https://www.teva.co.uk/1015161-1.html?dwvar_1015161-1_color=CSND
HURRY UP > 09H 42M 39S,Banner. Timer resets. There's a similar banner in the product detail. It resets too.,Urgency,Product Page,Yes,https://www.stylewe.com/product/v-neck-green-asymmetrical-statement-ruched-midi-dress-618723.html
"There's no obligation to buy as an Xtra VIP Member, nor is there any minimum number of months or commitment for membership. You can shop or ‘Skip’ by the 5th of each month, and you can cancel your membership at any time by calling (855) SAVAGEX (open 24/7).","Call to cancel. On clicking ""Learn more"".",Obstruction,Cart Page,No,https://www.savagex.com/shop/balconette-bra-ba1930861-0531-8066440
,Discount code. Resets after hitting zero,Urgency,Product Page,Yes,https://www.empowerlaptop.com
24 people currently interested,Product image carousel,Social Proof,Product Page,No,https://www.bookmartialarts.com/punchcamp-spain-fitnesscamp-spain/8-days-martial-arts-training-camp-in-spain
Only 3 left,Product detail,Scarcity,Product Page,No,https://www.gunsmidwest.com/steiner-5202-p4xi-1x-4x24mm-p3tr-w-lever.html
LESS THAN 8 LEFT IN STOCK!,All products low on stock,Scarcity,Product Page,No,https://www.cheapundies.com/products/lauren-ralph-lauren-blue-floral-print-cotton-sateen-pajama-set
I'LL PAY FULL PRICE,Popup,Misdirection,Product Page,No,https://www.jouercosmetics.com/collections/lip-treatment/products/essential-hydrating-clay-mask-and-lip-care-bundle-with-free-microfiber-towel
,Sale. Resets after hitting zero,Urgency,Product Page,Yes,https://www.canvaschamp.com
3 left in stock,Product detail,Scarcity,Product Page,No,https://www.brompton.com/brompton-gbr/uk-store/bags/transporting-accessories/padded-travel-bag-with-4-wheels/c-24/c-86/p-4859
"An item you ordered is in high demand. No worries, we have reserved your order.",Shown for all products,Scarcity,Checkout Process,No,https://fans-made.com/collections/marvel-products/products/sexy-motherf-ker-unisex-hoodie
Spring Sale Extended,"Header, resets",Urgency,Product Page,Yes,https://www.bearmattress.com/products/bear-hybrid
994 items sold this hour.,Popup in right bottom corner,Social Proof,Product Page,No,https://www.thredup.com/product/women-express-red-long-sleeve-blouse/50386726
,Shipping,Urgency,Product Page,No,https://www.phaserfpv.com.au
,Default quantity is 3,Misdirection,Product Page,No,https://www.justformen.com/control-gx-shampoo.html
🔥 9 people are viewing this.,Product detail,Social Proof,Product Page,No,https://savethebeesproject.com/products/limited-edition-honeycomb-heart-necklace-bee-inspired
33 sold in last 12 hours.,Above product detail. Randomized.,Social Proof,Product Page,Yes,https://gopowear.com/collections/wallet-case/products/fashion-beautiful-dragon-wallet-case-sctk240401
Only 1 left,Product detail,Scarcity,Product Page,No,https://www.uberkinky.co.uk/p-swell-12-x-inflatable-prostate-stimulator-85308.html
,VIP membership option is default if you don't make a choice in the popup.,Misdirection,Cart Page,No,https://www.justfab.com/products/Faux-Suede-Pant-PT1618153-0001
Someone in Keilor East bought a Piranta-Edge Skinning Knife - Blaze - Havalon Knives54 minutes ago,Periodic popup,Social Proof,Product Page,No,https://www.apexhunting.com.au/p/crux-top-hunters-element/HE-94200300040xx
Items reserved for 15:00,Cart empties,Urgency,Cart Page,No,https://www.therealreal.com/
Over 500 left in stock,Product detail,Scarcity,Product Page,No,https://vinegarsyndrome.com/shop/2018-catalogue-of-film/
Items in your cart are in VERY high-demand.,Shown for all products,Scarcity,Product Page,No,https://pelacase.com/products/save-the-waves-black-google-pixel-2xl-eco-friendly-phone-case?variant=12170059087986
Hurry! Only 6 left in stock.,Product detail. Decrements at scheduled intervals. Hurrify.,Scarcity,Product Page,Yes,https://lilyvanity.com/collections/makeup/products/lilyvanity-waterproof-lipstick-pen?variant=936738193415
ONLY AVAILABLE FOR A LIMITED TIME,Product detail,Urgency,Product Page,No,https://shopcaseyneistat.com/collections/20-off/products/work-harder-hoodie
"Son in Suisun City, United States purchased Commander Lex",Periodic popup,Social Proof,Product Page,No,https://www.currenstore.com/products/pioneer-galaxy
Wait! YOUR CART QUALIFIES FOR 15% OFF YOUR ENTIRE ORDER. Offer Expires in: 2955,Popup. You can still get a code after expiry and add it to checkout.,Urgency,Product Page,Yes,https://www.leesa.com/products/sapira-mattress
One customer bought this article in the last 53 min.,Description of product,Social Proof,Product Page,No,https://www.tennis-point.com/adidas-parley-polo-men-white-petrol-00544612336000.html
Would you like to buy more and save more?,Two popups to buy more,Misdirection,Product Page,No,https://www.evine.com/Product/739-887?icid=HP1-_-F-_-TTV739887-_-013119
Only 11 Left In Stock,Product detail,Scarcity,Product Page,No,https://www.netmeds.com/non-prescriptions/gnc-pro-performance-amp-amplified-wheybolic-extreme-60-original-cookies-n-cream-3lb
"NO THANKS, I DON'T WANT TO SAVE MONEY",Popup,Misdirection,Product Page,No,https://shopurbansociety.com/collections/best-sellers/products/loca-windbreaker
,Discount code,Urgency,Product Page,No,https://shop.vstarcam.com
"Ends in 1 Days, 4 Minutes, 44 Seconds",Product detail,Urgency,Product Page,No,https://www.smokecartel.com/products/upc-24mm-slim-straight-tube
"No thanks, I just want the item","On adding to cart, you're asked to add more via popup for a better deal.",Misdirection,Product Page,No,https://www.adameve.com/adult-sex-toys/vibrators/clit-vibrators/sp-satisfyer-pro-next-generation-104151.aspx
Limited Time Offer,Product detail,Urgency,Product Page,No,https://cspcart.com/products/microsoft-office-home-business-2019-for-mac
Only 1 left,Product detail,Scarcity,Product Page,No,https://www.manfrotto.co.uk/schneider-ff-lens-100mm-canon-ft
Please note all products are made in limited quantities and we rarely restock - checkout now so you don't miss out!,Product detail,Scarcity,Cart Page,No,https://us.fashionbunker.com/on-and-off-midi-dress-black-abstract?___store=usa&nosto=notfound-nosto-2
"Hurry, Limited Time Offer! 11:25",Cart section of product page. Right bottom corner.,Urgency,Product Page,Yes,https://www.vitalityextracts.com/collections/diffuser-jewelry/products/sacred-arrow-diffuser-bracelet
I Don't Like to Save Money,Popup,Misdirection,Product Page,No,https://www.sandcloud.com/collections/towels/products/mandala-sea-turtle-towel
"no thanks, I don't like to save",Popup,Misdirection,Product Page,No,https://www.bettereyewear.com/Tom_Ford_FT_4239_Eyeglasses_p/ft4239.htm
I WANT TO PAY MORE LATER ;),Popup,Misdirection,Product Page,No,https://leprix.com/shop/givenchy/shoulder-bags/chain-pandora-box-handbag-stingray-mini
,Popup shows asking to buy more,Misdirection,Product Page,No,https://jskis.com/collections/clothing/products/shralper-neck-tube
ONLY 1 LEFT,Product detail,Scarcity,Product Page,No,https://www.stuartweitzman.com/products/brielle-small/?DepartmentId=1047&DepartmentGroupId=154&ColMatID=41365
"Don't snooze, only 1 left",ATC button. Nearly all product low on stock.,Scarcity,Product Page,No,https://www.dresscodeclothing.com/p/new-balance-unisex-baby-kj888v1i-kids-shoes-1343075/silver-minkrainbow
Availability: Low in stock today,Shown for all products,Scarcity,Product Page,No,https://foxstark.com/collections/hotbabyitems/products/viking-baby-hat
Massive Tax Time Sale See Discounts! Sale ends in,Banner,Urgency,Product Page,No,https://www.thertastore.com/kitchen-cabinets/rta-kitchen-cabinets.html
"894 Claimed! Hurry, only a few left!",Product detail. Decrements at scheduled intervals. Hurrify.,Scarcity,Product Page,Yes,https://raenwear.com/collections/family-collection/products/unisex-mickey-mouse-inspired-3-piece-outfit
ONLY 1 LEFT,Product detail,Scarcity,Product Page,No,https://www.mattblatt.com.au/toorak-velvet-diamond-stitch-dining-chair-online-only
,VIP membership option is default if you don't make a choice in the popup.,Misdirection,Cart Page,No,https://www.fabletics.ca/product?id=7941769&psrc=also%5Flove
Only 69 left!,Product detail,Scarcity,Product Page,No,https://liionwholesale.com/collections/new-products/products/enook-x1-plus-battery-charger?variant=15431797997662
"No thanks, I don't like good deals.",Popup,Misdirection,Product Page,No,https://fwreshinc.com/products/shade-shifter-multichrome-nail-polish-0-5-oz-full-sized-bottle
ONLY 1 LEFT IN STOCK,Product detail,Scarcity,Product Page,No,https://www.glassesdirect.co.uk/glasses/ray-ban-4246v/?prca=PRCA50001790&aspect=front
"No thanks, I’ll skip this amazing super-saver deal. I don’t need so many beautiful textures",Bottom of page,Misdirection,Product Page,No,https://cgelves.com/shop/seamless-fabric-material-textures-tileable-fancy-lace-trims-mega-bundle-for-3d-cg-artists/
Only 1 left!,Product detail,Scarcity,Product Page,No,https://www.hobobags.com/sheila-leather-carry-all-travel-bag-cobblestone/p/VI-35019CSTO-1
Only 2 stock available,Product detail,Scarcity,Product Page,No,https://www.allonlinestore.in/Navy-Linen-Cotton-Casual-Shirt-2787.html
ONLY 5 LEFT,Product detail,Scarcity,Product Page,No,https://www.silencershop.com/s-w-m-p-shield-threaded-barrel.html
"Rick in Columbia, United States purchased a",Periodic popup,Social Proof,Product Page,No,https://www.d-fantix.com/collections/3x3/products/d-fantix-shengshou-mirror-cube-3x3-speed-unequal-cube-puzzles-golden-black?variant=33327473298
31 people seeing this product right now,Popup in lower left corner,Social Proof,Product Page,No,https://dekanta.com/store/nikka-whisky-single-malt-yoichi-2019-pre-order/
146 people recently purchased this.,Product detail,Social Proof,Product Page,No,https://www.diffeyewear.com/collections/blue-light-blocking-glasses/products/tara-pink-crystal-blue-light-technology-clear
,Sale,Urgency,Product Page,No,https://www.crazysales.com.au
POPULAR 64 others checked this out in the last few hours.,Product detail,Social Proof,Product Page,No,https://www.prettylittlething.us/freyana-rose-gold-sequin-detail-long-sleeve-bodycon-dress.html 
Only 1 left,Product detail,Scarcity,Product Page,No,https://geo-def.com/comeb9zgrkfe5jg4.html
1 item left,Product detail,Scarcity,Product Page,No,https://www.khazanay.pk/collections/mens-sports-shoes/products/new-balance-acteva-lite-s-12382?variant=16018549440602
Offer ends in 15hrs 1min 56sec!,Product detail,Urgency,Product Page,No,https://www.fanatics.com/nfl/dallas-cowboys/dallas-cowboys-nfl-pro-line-by-fanatics-branded-lone-star-hometown-collection-t-shirt-navy/o-1349+t-58711373+p-706755558+z-7-365871359
